,Surface area (m2/g),Pore Volume (cm3/g),Catalyst dosage (g/L),Antibiotic dosage (mg/L),Illumination time (min),pH,Degradation efficiency (%)
MIL-101,180.41,0.32,0.05,50,0,4.1,12
MIL-101,180.41,0.32,0.05,50,5,4.1,19
MIL-101,180.41,0.32,0.05,50,10,4.1,35
MIL-101,180.41,0.32,0.05,50,15,4.1,53
MIL-101,180.41,0.32,0.05,50,20,4.1,67
MIL-101,180.41,0.32,0.1,50,0,4.1,19
MIL-101,180.41,0.32,0.1,50,5,4.1,28
MIL-101,180.41,0.32,0.1,50,10,4.1,50
MIL-101,180.41,0.32,0.1,50,15,4.1,70
MIL-101,180.41,0.32,0.1,50,20,4.1,78
MIL-101,180.41,0.32,0.15,50,0,4.1,24
MIL-101,180.41,0.32,0.15,50,5,4.1,35
MIL-101,180.41,0.32,0.15,50,10,4.1,61
MIL-101,180.41,0.32,0.15,50,15,4.1,78
MIL-101,180.41,0.32,0.15,50,20,4.1,83
MIL-101,180.41,0.32,0.2,50,0,4.1,25
MIL-101,180.41,0.32,0.2,50,5,4.1,35
MIL-101,180.41,0.32,0.2,50,10,4.1,52
MIL-101,180.41,0.32,0.2,50,15,4.1,74
MIL-101,180.41,0.32,0.2,50,20,4.1,81
MIL-101,180.41,0.32,0.15,50,0,2.2,10
MIL-101,180.41,0.32,0.15,50,5,2.2,14
MIL-101,180.41,0.32,0.15,50,10,2.2,16
MIL-101,180.41,0.32,0.15,50,15,2.2,19
MIL-101,180.41,0.32,0.15,50,20,2.2,25
MIL-101,180.41,0.32,0.15,50,0,6.3,27
MIL-101,180.41,0.32,0.15,50,5,6.3,45
MIL-101,180.41,0.32,0.15,50,10,6.3,72
MIL-101,180.41,0.32,0.15,50,15,6.3,81
MIL-101,180.41,0.32,0.15,50,20,6.3,84
MIL-101,180.41,0.32,0.15,50,0,8.2,28
MIL-101,180.41,0.32,0.15,50,5,8.2,44
MIL-101,180.41,0.32,0.15,50,10,8.2,67
MIL-101,180.41,0.32,0.15,50,15,8.2,79
MIL-101,180.41,0.32,0.15,50,20,8.2,83
MIL-101,180.41,0.32,0.15,50,0,10.2,30
MIL-101,180.41,0.32,0.15,50,5,10.2,58
MIL-101,180.41,0.32,0.15,50,10,10.2,79
MIL-101,180.41,0.32,0.15,50,15,10.2,84
MIL-101,180.41,0.32,0.15,50,20,10.2,86
MIL-101,180.41,0.32,0.15,50,0,12.2,20
MIL-101,180.41,0.32,0.15,50,5,12.2,38
MIL-101,180.41,0.32,0.15,50,10,12.2,48
MIL-101,180.41,0.32,0.15,50,15,12.2,56
MIL-101,180.41,0.32,0.15,50,20,12.2,62
MIL-101,180.41,0.32,0.15,50,0,4.1,26
MIL-101,180.41,0.32,0.15,50,5,4.1,79
MIL-101,180.41,0.32,0.15,50,10,4.1,86
MIL-101,180.41,0.32,0.15,50,15,4.1,88
MIL-101,180.41,0.32,0.15,50,20,4.1,89
MIL-88A,15.95,0.11,0.25,200,0,3.45,7.5
MIL-88A,15.95,0.11,0.25,200,10,3.45,20.3
MIL-88A,15.95,0.11,0.25,200,20,3.45,27.9
MIL-88A,15.95,0.11,0.25,200,30,3.45,42.1
MIL-88A,15.95,0.11,0.25,200,40,3.45,55.5
MIL-88A,15.95,0.11,0.25,200,50,3.45,71.9
MIL-88A,15.95,0.11,0.25,200,60,3.45,87.9
MIL-88A,15.95,0.11,0.25,200,70,3.45,96.8
MIL-88A,15.95,0.11,0.25,200,80,3.45,99.4
MIL-88A,15.95,0.11,0.5,200,0,3.45,14.1
MIL-88A,15.95,0.11,0.5,200,10,3.45,35.4
MIL-88A,15.95,0.11,0.5,200,20,3.45,46.1
MIL-88A,15.95,0.11,0.5,200,30,3.45,60.3
MIL-88A,15.95,0.11,0.5,200,40,3.45,80.2
MIL-88A,15.95,0.11,0.5,200,50,3.45,91.4
MIL-88A,15.95,0.11,0.5,200,60,3.45,97.6
MIL-88A,15.95,0.11,0.5,200,70,3.45,99
MIL-88A,15.95,0.11,0.5,200,80,3.45,99.45
MIL-88A,15.95,0.11,1,200,0,3.45,20.7
MIL-88A,15.95,0.11,1,200,10,3.45,73.5
MIL-88A,15.95,0.11,1,200,20,3.45,85.4
MIL-88A,15.95,0.11,1,200,30,3.45,93.5
MIL-88A,15.95,0.11,1,200,40,3.45,97.5
MIL-88A,15.95,0.11,1,200,50,3.45,98.8
MIL-88A,15.95,0.11,1,200,60,3.45,98.9
MIL-88A,15.95,0.11,1,200,70,3.45,99
MIL-88A,15.95,0.11,1,200,80,3.45,99.5
MIL-88A,15.95,0.11,2,200,0,3.45,29.1
MIL-88A,15.95,0.11,2,200,10,3.45,70.3
MIL-88A,15.95,0.11,2,200,20,3.45,81.5
MIL-88A,15.95,0.11,2,200,30,3.45,89.5
MIL-88A,15.95,0.11,2,200,40,3.45,94.8
MIL-88A,15.95,0.11,2,200,50,3.45,98
MIL-88A,15.95,0.11,2,200,60,3.45,98.5
MIL-88A,15.95,0.11,2,200,70,3.45,99
MIL-88A,15.95,0.11,2,200,80,3.45,99
MIL-88A,15.95,0.11,0.25,200,0,1,1.5
MIL-88A,15.95,0.11,0.25,200,10,1,11.6
MIL-88A,15.95,0.11,0.25,200,20,1,16.5
MIL-88A,15.95,0.11,0.25,200,30,1,24.2
MIL-88A,15.95,0.11,0.25,200,40,1,28.6
MIL-88A,15.95,0.11,0.25,200,50,1,37.2
MIL-88A,15.95,0.11,0.25,200,60,1,43
MIL-88A,15.95,0.11,0.25,200,70,1,47.9
MIL-88A,15.95,0.11,0.25,200,80,1,55.1
MIL-88A,15.95,0.11,0.25,200,90,1,62.4
MIL-88A,15.95,0.11,0.25,200,0,3,9.2
MIL-88A,15.95,0.11,0.25,200,10,3,28.1
MIL-88A,15.95,0.11,0.25,200,20,3,48.8
MIL-88A,15.95,0.11,0.25,200,30,3,68.2
MIL-88A,15.95,0.11,0.25,200,40,3,87
MIL-88A,15.95,0.11,0.25,200,50,3,96.7
MIL-88A,15.95,0.11,0.25,200,60,3,98.6
MIL-88A,15.95,0.11,0.25,200,70,3,99.1
MIL-88A,15.95,0.11,0.25,200,80,3,99.5
MIL-88A,15.95,0.11,0.25,200,90,3,99.6
MIL-88A,15.95,0.11,0.25,200,0,5,9.2
MIL-88A,15.95,0.11,0.25,200,10,5,20.3
MIL-88A,15.95,0.11,0.25,200,20,5,26.1
MIL-88A,15.95,0.11,0.25,200,30,5,31.5
MIL-88A,15.95,0.11,0.25,200,40,5,36.8
MIL-88A,15.95,0.11,0.25,200,50,5,41.6
MIL-88A,15.95,0.11,0.25,200,60,5,50.3
MIL-88A,15.95,0.11,0.25,200,70,5,56.1
MIL-88A,15.95,0.11,0.25,200,80,5,63.3
MIL-88A,15.95,0.11,0.25,200,90,5,73
MIL-88A,15.95,0.11,0.25,200,0,7,8.7
MIL-88A,15.95,0.11,0.25,200,10,7,21.8
MIL-88A,15.95,0.11,0.25,200,20,7,25.2
MIL-88A,15.95,0.11,0.25,200,30,7,27.1
MIL-88A,15.95,0.11,0.25,200,40,7,30
MIL-88A,15.95,0.11,0.25,200,50,7,33.4
MIL-88A,15.95,0.11,0.25,200,60,7,38.7
MIL-88A,15.95,0.11,0.25,200,70,7,40.6
MIL-88A,15.95,0.11,0.25,200,80,7,44.5
MIL-88A,15.95,0.11,0.25,200,90,7,49.3
MIL-88A,15.95,0.11,0.25,200,0,9,15.5
MIL-88A,15.95,0.11,0.25,200,10,9,17.9
MIL-88A,15.95,0.11,0.25,200,20,9,27.6
MIL-88A,15.95,0.11,0.25,200,30,9,41.6
MIL-88A,15.95,0.11,0.25,200,40,9,55.1
MIL-88A,15.95,0.11,0.25,200,50,9,71.5
MIL-88A,15.95,0.11,0.25,200,60,9,87.5
MIL-88A,15.95,0.11,0.25,200,70,9,96.2
MIL-88A,15.95,0.11,0.25,200,80,9,98.6
MIL-88A,15.95,0.11,0.25,200,90,9,99.1
MIL-101,252.59,0.86,0.1,50,0,8,32.3
MIL-102,252.59,0.86,0.1,50,20,8,37.1
MIL-103,252.59,0.86,0.1,50,40,8,42
MIL-104,252.59,0.86,0.1,50,60,8,46.3
MIL-105,252.59,0.86,0.1,50,90,8,54.9
MIL-106,252.59,0.86,0.1,50,120,8,60.3
MIL-107,252.59,0.86,0.3,50,0,8,47.4
MIL-108,252.59,0.86,0.3,50,20,8,50
MIL-109,252.59,0.86,0.3,50,40,8,53.8
MIL-110,252.59,0.86,0.3,50,60,8,58.7
MIL-111,252.59,0.86,0.3,50,90,8,65.1
MIL-112,252.59,0.86,0.3,50,120,8,73.2
MIL-113,252.59,0.86,0.7,50,0,8,51.1
MIL-114,252.59,0.86,0.7,50,20,8,55.4
